epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3333,5.83563,192.175,2.32566,0,0,0,0,5.43538,62.2765,1.75789,0.00052,0.00052,0.00052
2,17.0678,4.27689,57.0736,1.50209,0,0,0,0,3.96529,38.9136,1.24655,0.00105475,0.00105475,0.00105475
3,22.0401,4.12369,33.1941,1.38917,0,0,0,0,4.50411,40.8587,1.37275,0.00158416,0.00158416,0.00158416
4,26.8354,4.12128,26.952,1.31823,0,0,0,0,4.3846,21.7847,1.31626,0.0019703,0.0019703,0.0019703
5,31.8683,4.1683,19.8119,1.40102,0,0,0,0,4.68242,21.3104,1.35808,0.0019604,0.0019604,0.0019604
6,36.778,4.04981,14.3909,1.33889,0,0,0,0,3.93086,11.7662,1.20284,0.0019505,0.0019505,0.0019505
7,41.1649,3.97135,12.4631,1.31473,0,0,0,0,3.7257,7.27904,1.20564,0.0019406,0.0019406,0.0019406
8,45.6044,3.66781,9.50375,1.24215,0,0,0,0,3.20675,5.50239,1.06381,0.0019307,0.0019307,0.0019307
9,49.8957,3.36631,7.67314,1.16341,0.00047,0.09901,0.00031,8e-05,3.62115,55.7293,1.15461,0.0019208,0.0019208,0.0019208
10,54.5351,3.25918,6.62685,1.1401,0.00644,0.23762,0.02412,0.00628,3.33108,4.65449,1.23244,0.0019109,0.0019109,0.0019109
11,59.6387,3.05697,5.39269,1.10298,0.0086,0.51485,0.08934,0.02365,2.89596,3.77033,0.9935,0.001901,0.001901,0.001901
12,64.0497,3.03307,4.35624,1.07013,0.79621,0.21782,0.36511,0.15214,2.50966,2.65128,0.94803,0.0018911,0.0018911,0.0018911
13,68.426,2.82728,3.8158,1.07173,0.40959,0.24752,0.26015,0.05346,3.16557,2.23981,1.07171,0.0018812,0.0018812,0.0018812
14,72.8803,2.76433,3.23718,1.04853,0.62961,0.45545,0.49648,0.19244,2.37096,1.67603,0.92041,0.0018713,0.0018713,0.0018713
15,77.4515,2.70857,3.00222,1.04906,0.48112,0.33663,0.33616,0.08287,2.89056,1.6812,0.97383,0.0018614,0.0018614,0.0018614
16,81.985,2.62424,2.65061,1.02661,0.57135,0.55446,0.55592,0.20743,2.30633,1.44674,0.90968,0.0018515,0.0018515,0.0018515
17,86.4499,2.53064,2.50537,1.00268,0.59497,0.35644,0.34415,0.10861,2.60416,1.62925,0.96701,0.0018416,0.0018416,0.0018416
18,90.8875,2.4359,2.32097,1.00836,0.61608,0.54455,0.52108,0.16812,2.46598,1.43764,0.91204,0.0018317,0.0018317,0.0018317
19,95.6508,2.48867,2.27272,1.00455,0.34539,0.21782,0.14519,0.04222,3.28458,2.14393,1.05489,0.0018218,0.0018218,0.0018218
20,100.668,2.37991,2.12537,0.9896,0.57663,0.41584,0.41065,0.11315,2.69555,1.58413,0.92184,0.0018119,0.0018119,0.0018119
21,105.145,2.40117,2.02564,0.99379,0.77188,0.60396,0.64634,0.26271,2.12553,1.23878,0.878,0.001802,0.001802,0.001802
22,109.528,2.27855,1.8638,0.96779,0.71005,0.61386,0.67113,0.30995,1.89022,1.28073,0.8657,0.0017921,0.0017921,0.0017921
23,113.883,2.2888,1.83254,0.98033,0.78908,0.58416,0.6713,0.25736,2.22246,1.17679,0.90684,0.0017822,0.0017822,0.0017822
24,118.307,2.29,1.82186,0.97192,0.74006,0.62376,0.66175,0.33799,1.86689,1.18805,0.84924,0.0017723,0.0017723,0.0017723
25,122.726,2.3781,1.80985,0.99985,0.78404,0.58416,0.60147,0.20849,2.38564,1.33229,0.90308,0.0017624,0.0017624,0.0017624
26,127.142,2.31074,1.81558,0.96,0.64622,0.54259,0.53173,0.1602,2.59071,1.36276,0.89261,0.0017525,0.0017525,0.0017525
27,131.63,2.22418,1.69231,0.95002,0.78312,0.53465,0.64168,0.24943,2.21492,1.37997,0.87196,0.0017426,0.0017426,0.0017426
28,136.616,2.19889,1.61322,0.95696,0.78058,0.59881,0.69067,0.30653,2.00372,1.18769,0.8566,0.0017327,0.0017327,0.0017327
29,141.055,2.28055,1.57811,0.97702,0.787,0.64356,0.71169,0.31189,2.12782,1.19269,0.8886,0.0017228,0.0017228,0.0017228
30,145.397,2.13088,1.52799,0.95339,0.75439,0.60396,0.6936,0.25308,2.24103,1.29252,0.87012,0.0017129,0.0017129,0.0017129
31,149.799,2.14964,1.54527,0.94232,0.8623,0.68205,0.76719,0.36251,1.88649,1.04279,0.85186,0.001703,0.001703,0.001703
32,154.323,2.14754,1.57766,0.95626,0.52619,0.54981,0.48107,0.16578,2.41189,1.67162,0.88857,0.0016931,0.0016931,0.0016931
33,160.952,2.07971,1.45131,0.9516,0.76979,0.63366,0.63401,0.20716,2.185,1.30131,0.86878,0.0016832,0.0016832,0.0016832
34,167.406,2.08546,1.46491,0.94278,0.69056,0.57426,0.55443,0.14741,2.60898,1.38429,0.91946,0.0016733,0.0016733,0.0016733
35,172.793,2.09471,1.42376,0.93315,0.82886,0.67133,0.75584,0.38127,1.86349,1.06617,0.84315,0.0016634,0.0016634,0.0016634
36,177.183,2.11515,1.41545,0.96548,0.71617,0.72451,0.7709,0.34066,1.89102,1.189,0.86785,0.0016535,0.0016535,0.0016535
37,181.505,2.15644,1.43965,0.95574,0.87935,0.64952,0.7648,0.34593,1.93566,1.16795,0.89237,0.0016436,0.0016436,0.0016436
38,185.99,2.16574,1.39682,0.95267,0.80091,0.65347,0.75221,0.33508,2.0211,1.15539,0.86224,0.0016337,0.0016337,0.0016337
39,190.309,2.19308,1.43794,0.95298,0.8238,0.71287,0.80608,0.3867,1.88269,1.10235,0.88351,0.0016238,0.0016238,0.0016238
40,194.652,2.14756,1.35566,0.97148,0.87932,0.64933,0.79967,0.35335,2.13156,1.0915,0.92175,0.0016139,0.0016139,0.0016139
41,199.032,2.1734,1.37978,0.96106,0.78469,0.69307,0.74038,0.23966,2.39481,1.16597,0.90476,0.001604,0.001604,0.001604
42,203.389,2.1453,1.39836,0.96584,0.39014,0.45545,0.28758,0.08227,2.97413,1.64662,0.943,0.0015941,0.0015941,0.0015941
43,209.695,1.9826,1.34626,0.94358,0.86701,0.71287,0.8093,0.3909,1.77691,0.96836,0.86493,0.0015842,0.0015842,0.0015842
44,215.996,2.12243,1.39859,0.9437,0.74382,0.58416,0.64097,0.32769,1.98621,1.39381,0.87712,0.0015743,0.0015743,0.0015743
45,221.057,2.03952,1.36416,0.94699,0.90469,0.68317,0.81883,0.36363,1.9173,1.02984,0.85275,0.0015644,0.0015644,0.0015644
46,225.404,2.07778,1.30568,0.95748,0.80928,0.72277,0.80797,0.32356,1.92099,1.09623,0.86741,0.0015545,0.0015545,0.0015545
47,229.875,2.09774,1.28933,0.92809,0.80473,0.73267,0.8015,0.36808,1.9289,1.1003,0.86952,0.0015446,0.0015446,0.0015446
48,234.398,1.99944,1.22951,0.93223,0.85696,0.76238,0.84927,0.42197,1.81997,0.91174,0.85802,0.0015347,0.0015347,0.0015347
49,239.161,1.9894,1.32182,0.92985,0.88951,0.63366,0.78683,0.38832,1.7931,1.09618,0.83644,0.0015248,0.0015248,0.0015248
50,243.449,2.00705,1.31964,0.93641,0.84484,0.73267,0.80014,0.39285,1.76573,0.93876,0.8515,0.0015149,0.0015149,0.0015149
51,247.849,2.0329,1.26229,0.95017,0.80835,0.70297,0.7966,0.35454,1.9993,1.02945,0.86335,0.001505,0.001505,0.001505
52,252.216,2.04607,1.3129,0.93755,0.87582,0.69835,0.80797,0.31245,1.97179,1.1129,0.85381,0.0014951,0.0014951,0.0014951
53,258.93,1.99422,1.18693,0.9543,0.80854,0.74257,0.80495,0.41722,1.79466,1.07758,0.85523,0.0014852,0.0014852,0.0014852
54,265.717,2.02066,1.20593,0.94056,0.81737,0.71287,0.79777,0.39623,1.78906,1.14406,0.86855,0.0014753,0.0014753,0.0014753
55,270.52,2.04123,1.22247,0.93212,0.83303,0.61386,0.74006,0.33557,1.87846,1.08532,0.85841,0.0014654,0.0014654,0.0014654
56,274.939,1.98578,1.23388,0.92851,0.86725,0.77623,0.85277,0.38916,1.82059,0.98252,0.8524,0.0014555,0.0014555,0.0014555
57,279.267,1.99038,1.20281,0.94481,0.82784,0.76178,0.81847,0.42218,1.78804,0.93229,0.86936,0.0014456,0.0014456,0.0014456
58,283.584,2.1037,1.2207,0.94508,0.847,0.50495,0.63805,0.24705,2.1653,1.16779,0.87795,0.0014357,0.0014357,0.0014357
59,287.894,2.02084,1.19048,0.94894,0.8385,0.71287,0.76453,0.27844,2.10811,1.16512,0.862,0.0014258,0.0014258,0.0014258
60,292.439,1.98581,1.17684,0.94697,0.85375,0.75248,0.82119,0.39245,1.9054,1.03766,0.87993,0.0014159,0.0014159,0.0014159
61,296.772,2.10348,1.1748,0.94757,0.86275,0.78218,0.85937,0.41888,1.81547,0.92064,0.87669,0.001406,0.001406,0.001406
62,301.728,1.95305,1.17229,0.92725,0.79977,0.68317,0.75496,0.34825,1.84658,1.04393,0.85613,0.0013961,0.0013961,0.0013961
63,308.399,1.92971,1.15897,0.94481,0.87369,0.75333,0.86048,0.39276,1.82308,1.10479,0.85792,0.0013862,0.0013862,0.0013862
64,314.95,1.95838,1.1228,0.92932,0.81777,0.79979,0.8289,0.4269,1.80566,0.92127,0.86516,0.0013763,0.0013763,0.0013763
65,319.832,1.97093,1.12323,0.93697,0.9098,0.69907,0.83301,0.38924,1.85602,1.08993,0.88153,0.0013664,0.0013664,0.0013664
66,324.184,1.96186,1.13599,0.92479,0.78016,0.66337,0.70769,0.35389,1.9336,1.04008,0.85423,0.0013565,0.0013565,0.0013565
67,328.512,1.95952,1.1876,0.93197,0.85735,0.79208,0.85359,0.41597,1.84445,0.98475,0.87773,0.0013466,0.0013466,0.0013466
68,332.842,1.95615,1.16592,0.91298,0.79279,0.61386,0.71309,0.28386,2.04479,1.02666,0.86482,0.0013367,0.0013367,0.0013367
69,337.171,1.99025,1.09068,0.92583,0.83417,0.70297,0.79461,0.33396,1.82641,0.91381,0.85855,0.0013268,0.0013268,0.0013268
70,341.497,1.93351,1.07807,0.93809,0.86616,0.75248,0.8254,0.39271,1.9169,1.00745,0.87259,0.0013169,0.0013169,0.0013169
71,346.067,2.01275,1.08316,0.93206,0.89141,0.7315,0.83444,0.35454,1.98113,1.04047,0.89458,0.001307,0.001307,0.001307
72,351.058,2.02899,1.18537,0.94664,0.80271,0.74257,0.73421,0.29021,1.94625,1.15083,0.86996,0.0012971,0.0012971,0.0012971
73,357.49,1.93668,1.10772,0.91152,0.86063,0.74257,0.84183,0.4348,1.70654,1.01901,0.85581,0.0012872,0.0012872,0.0012872
74,364.06,1.92701,1.06584,0.94268,0.73178,0.58416,0.63097,0.22964,2.36863,1.18894,0.90338,0.0012773,0.0012773,0.0012773
75,368.597,1.88659,1.06952,0.91763,0.74627,0.78218,0.84118,0.40403,1.96708,0.94917,0.86141,0.0012674,0.0012674,0.0012674
76,373.056,1.8905,1.09155,0.91453,0.826,0.80198,0.83188,0.43188,1.81169,0.89795,0.86527,0.0012575,0.0012575,0.0012575
77,377.385,1.99024,1.10468,0.93349,0.82816,0.81188,0.84683,0.43461,1.83599,0.93089,0.86927,0.0012476,0.0012476,0.0012476
78,381.8,1.96247,1.08424,0.95546,0.82021,0.76787,0.8328,0.42459,1.80151,0.90802,0.8603,0.0012377,0.0012377,0.0012377
79,386.164,1.92482,1.05906,0.93767,0.86021,0.72277,0.86156,0.41425,1.78662,0.88014,0.86291,0.0012278,0.0012278,0.0012278
80,390.522,1.94325,1.10343,0.92101,0.83668,0.76084,0.83598,0.43417,1.8023,0.96593,0.86995,0.0012179,0.0012179,0.0012179
81,394.972,1.97325,1.13321,0.94206,0.7708,0.83243,0.86066,0.46303,1.75402,0.9656,0.86635,0.001208,0.001208,0.001208
82,399.683,1.91251,1.07406,0.89934,0.84067,0.80198,0.87832,0.44996,1.70876,0.88649,0.85268,0.0011981,0.0011981,0.0011981
83,406.223,1.85401,1.04363,0.90639,0.864,0.81774,0.87818,0.44799,1.79167,0.89387,0.87819,0.0011882,0.0011882,0.0011882
84,412.51,1.94611,1.05636,0.9284,0.89278,0.68317,0.80333,0.30355,1.96488,1.33678,0.86763,0.0011783,0.0011783,0.0011783
85,417.172,1.91253,1.05429,0.93773,0.91863,0.71287,0.84735,0.40872,1.87793,0.95041,0.87118,0.0011684,0.0011684,0.0011684
86,421.631,1.92287,1.06659,0.9121,0.86164,0.78218,0.8549,0.44973,1.67206,0.93581,0.85278,0.0011585,0.0011585,0.0011585
87,426.106,1.91271,1.00239,0.9138,0.83108,0.73069,0.81963,0.40226,1.80506,0.99277,0.86406,0.0011486,0.0011486,0.0011486
88,430.426,1.8387,1.05666,0.93263,0.78415,0.60396,0.68765,0.28831,2.11975,1.20172,0.89013,0.0011387,0.0011387,0.0011387
89,434.727,1.89682,1.03537,0.92216,0.67015,0.64356,0.63366,0.21362,2.42495,1.17756,0.92817,0.0011288,0.0011288,0.0011288
90,439.034,1.95227,1.13303,0.91788,0.87654,0.77328,0.84166,0.42868,1.77613,0.9772,0.86731,0.0011189,0.0011189,0.0011189
91,443.453,1.929,1.10581,0.92898,0.79297,0.7585,0.82368,0.42834,1.73075,0.97237,0.85654,0.001109,0.001109,0.001109
92,448.877,1.81053,1.06406,0.9184,0.72894,0.73267,0.78957,0.37332,1.79278,1.05751,0.85217,0.0010991,0.0010991,0.0010991
93,456.289,1.92357,1.01916,0.9436,0.84915,0.80198,0.88425,0.39989,1.86427,0.94748,0.86433,0.0010892,0.0010892,0.0010892
94,462.611,1.89122,1.00221,0.92731,0.85944,0.78701,0.86955,0.44411,1.69933,0.89232,0.85221,0.0010793,0.0010793,0.0010793
95,467.2,1.87071,0.99725,0.90327,0.86492,0.7608,0.85666,0.42497,1.77289,0.91363,0.8526,0.0010694,0.0010694,0.0010694
96,471.691,1.88829,0.99186,0.9342,0.86431,0.81988,0.87817,0.44313,1.72692,0.93302,0.86014,0.0010595,0.0010595,0.0010595
97,476.179,1.92341,1.05646,0.91386,0.86266,0.76238,0.85375,0.37557,1.82609,1.01316,0.84613,0.0010496,0.0010496,0.0010496
98,480.685,1.866,1.01571,0.90519,0.82141,0.83168,0.85668,0.46012,1.56366,0.92186,0.82772,0.0010397,0.0010397,0.0010397
99,485.032,1.87443,1.00704,0.91228,0.90965,0.79747,0.87486,0.42905,1.79549,0.94331,0.87165,0.0010298,0.0010298,0.0010298
100,489.432,1.90884,1.01544,0.90836,0.78847,0.77228,0.8279,0.37253,1.80619,0.95823,0.85448,0.0010199,0.0010199,0.0010199
101,493.83,1.94559,1.02119,0.92076,0.81996,0.67642,0.77651,0.30173,2.13486,1.05137,0.87675,0.00101,0.00101,0.00101
102,498.743,1.88319,0.99582,0.91176,0.87149,0.80576,0.88008,0.44655,1.64239,0.92525,0.83564,0.0010001,0.0010001,0.0010001
103,505.748,1.87985,0.95533,0.91344,0.89549,0.76354,0.87199,0.44423,1.70787,0.92309,0.84932,0.0009902,0.0009902,0.0009902
104,512.219,1.82415,0.92997,0.91475,0.74012,0.76133,0.78461,0.33067,1.97164,0.97527,0.86171,0.0009803,0.0009803,0.0009803
105,518.308,1.86717,0.98577,0.92897,0.87142,0.80523,0.87074,0.45903,1.70409,0.87024,0.85023,0.0009704,0.0009704,0.0009704
106,525.045,1.77673,0.93122,0.89932,0.89023,0.80298,0.89016,0.46784,1.62917,0.90591,0.83666,0.0009605,0.0009605,0.0009605
107,530.31,1.83697,0.98374,0.90353,0.80971,0.80049,0.86789,0.46933,1.7295,0.90375,0.84396,0.0009506,0.0009506,0.0009506
108,534.612,1.85345,0.99432,0.92198,0.88165,0.81137,0.88863,0.45833,1.69332,0.93007,0.86196,0.0009407,0.0009407,0.0009407
109,539.035,1.79862,0.9625,0.89031,0.84228,0.79313,0.85068,0.46434,1.70813,0.85208,0.86395,0.0009308,0.0009308,0.0009308
110,543.456,1.85769,0.95095,0.92259,0.61272,0.48515,0.45811,0.13092,2.78716,1.37634,0.94631,0.0009209,0.0009209,0.0009209
111,547.792,1.84513,0.97058,0.9017,0.84307,0.74257,0.78365,0.32675,2.05133,1.01101,0.87506,0.000911,0.000911,0.000911
112,552.091,1.885,1.00621,0.9212,0.7853,0.81188,0.83901,0.41793,1.75755,0.94677,0.84902,0.0009011,0.0009011,0.0009011
113,556.388,1.82766,0.97259,0.93661,0.84138,0.86139,0.86877,0.45606,1.75209,0.9342,0.85804,0.0008912,0.0008912,0.0008912
114,561.157,1.84504,1.02105,0.90313,0.90455,0.82178,0.87037,0.42326,1.82159,0.954,0.86484,0.0008813,0.0008813,0.0008813
115,568.162,1.81539,0.88735,0.90935,0.92599,0.86722,0.89998,0.44141,1.76544,0.89015,0.85026,0.0008714,0.0008714,0.0008714
